n_test,accuracy,precision,recall,f1,roc_auc,threshold,confusion_matrix,task,task_label,n_raw_merged_rows,n_benchmark_rows,n_train,n_positive,n_negative,positive_definition,negative_definition
527,0.9507,0.924,0.9706,0.9467,0.9939,0.52,"{'true_negative': 270, 'false_positive': 19, 'false_negative': 7, 'true_positive': 231}",menopause,Menopause/change of life,3917,2632,2105,1136,1496,"RHD043 == 7, menopause/change of life","RHQ031 == 1, had regular periods in past 12 months"
185,0.7946,0.0333,0.1,0.05,0.5389,0.69,"{'true_negative': 146, 'false_positive': 29, 'false_negative': 9, 'true_positive': 1}",irregular_reproductive_age,"Non-menopause no-period signal, ages 20-45",3917,921,736,65,856,"Age 20-45 and RHD043 == 9, other reason for no regular periods","Age 20-45 and RHQ031 == 1, had regular periods in past 12 months"
